"lang"
{
	"Language"	"Schinese"
	"Tokens"
	{
		"addon_game_name"	"大将军"
		"map_1x6"		"1x6"
		"map_1x6_no_swap"		"1x6（无交易）"
		"DOTA_Tooltip_ability_tt1"	"拒绝盗版游戏"
		"DOTA_Tooltip_ability_tt2"	"抵制不良游戏"
		"DOTA_Tooltip_ability_tt3"	"谨防受骗上当"
		"DOTA_Tooltip_ability_tt4"	"注意自我保护"
		"DOTA_Tooltip_ability_tt5"	"沉迷游戏伤身"
		"DOTA_Tooltip_ability_tt6"	"适度游戏益脑"
		"DOTA_Tooltip_ability_tt7"	"享受健康生活"
		"DOTA_Tooltip_ability_tt8"	"合理安排时间"
		"text_player_level_00"	"马夫还是渔民呢？"
		"text_player_level_11"	"先锋一星"
		"text_player_level_12"	"先锋二星"
		"text_player_level_13"	"先锋三星"
		"text_player_level_21"	"卫士一星"
		"text_player_level_22"	"卫士二星"
		"text_player_level_23"	"卫士三星"
		"text_player_level_31"	"中军一星"
		"text_player_level_32"	"中军二星"
		"text_player_level_33"	"中军三星"
		"text_player_level_41"	"统帅一星"
		"text_player_level_42"	"统帅二星"
		"text_player_level_43"	"统帅三星"
		"text_player_level_51"	"传奇一星"
		"text_player_level_52"	"传奇二星"
		"text_player_level_53"	"传奇三星"
		"text_player_level_61"	"万古流芳一星"
		"text_player_level_62"	"万古流芳二星"
		"text_player_level_63"	"万古流芳三星"
		"text_player_level_71"	"超凡入圣一星"
		"text_player_level_72"	"超凡入圣二星"
		"text_player_level_73"	"超凡入圣三星"
		"text_player_level_81"	"冠绝一世"
		"rune_0"	"双倍神符"
		"rune_1"	"极速神符"
		"rune_2"	"幻象神符"
		"rune_3"	"隐身神符"
		"rune_4"	"恢复神符"
		"rune_5"	"赏金神符"
		"rune_6"	"奥术神符"
		"bz_pa_1"	"幻影刺客★"
		"bz_pa_11"	"幻影刺客★★"
		"bz_pa_111"	"幻影刺客★★★"
		"bz_mibo_1"		"米波★"
		"bz_mibo_11"	"米波★★"
		"bz_mibo_111"	"米波★★★"
		"bz_tufu_1"		"帕吉★"
		"bz_tufu_11"	"帕吉★★"
		"bz_tufu_111"	"帕吉★★★"
		"bz_lina_1"		"莉娜★"
		"bz_lina_11"	"莉娜★★"
		"bz_lina_111"	"莉娜★★★"
		"bz_axe_1"		"斧王★"
		"bz_axe_11"		"斧王★★"
		"bz_axe_111"	"斧王★★★"
		"bz_zuus_1"		"宙斯★"
		"bz_zuus_11"	"宙斯★★"
		"bz_zuus_111"	"宙斯★★★"
		"bz_techies_1"	"工程师★"
		"bz_techies_11"	"工程师★★"
		"bz_techies_111""工程师★★★"
		"bz_bloodseeker_1"		"血魔★"
		"bz_bloodseeker_11"		"血魔★★"
		"bz_bloodseeker_111"	"血魔★★★"
		"bz_dragon_knight_1"	"龙骑士★"
		"bz_dragon_knight_11"	"龙骑士★★"
		"bz_dragon_knight_111"	"龙骑士★★★"
		"bz_undying_1"			"不朽尸王★"
		"bz_undying_11"			"不朽尸王★★"
		"bz_undying_111"		"不朽尸王★★★"
		"bz_life_stealer_1"		"噬魂鬼★"
		"bz_life_stealer_11"	"噬魂鬼★★"
		"bz_life_stealer_111"	"噬魂鬼★★★"
		"e101"	"圣洁精华"
		"e102"	"玛瑙光泽"
		"e103"	"芳晓之庆"
		"e104"	"水晶裂痕"
		"e105"	"腐化触须"
		"e106"	"毒虫肆虐"
		"e107"	"夜魇暗潮腐化"
		"e108"	"夜魇暗潮荒芜"
		"e109"	"大地灵气"
		"e110"	"蓝色风暴"
		"e111"	"一起哈啤"
		"e112"	"宝石光泽"
		"e113"	"污污污污"
		"e114"	"雾里看花"
		"e201"	"暗淡幻象"
		"e202"	"冥魂大帝"
		"e203"	"翡翠外质"
		"e204"	"祸乱之源"
		"e205"	"毒蕈之径"
		"e206"	"2012冠军之辉"
		"e207"	"2013冠军之辉"
		"e208"	"2014冠军之辉"
		"e209"	"霓虹蝴蝶"
		"e210"	"旋转火花"
		"e211"	"雾气环绕"
		"e212"	"迷幻缠绕"
		"e213"	"小家碧玉"
		"e214"	"欲火焚身"
		"e301"	"骄阳之炎"
		"e302"	"嬉戏蝴蝶"
		"e303"	"水晶室女"
		"e304"	"幸福之赐"
		"e305"	"绽放莲花"
		"e306"	"迎霜冰雪"
		"e307"	"燃烧末日"
		"e308"	"鱼泡泡"
		"e309"	"紫色激情"
		"e310"	"白雪飘零"
		"e311"	"一股邪火"
		"e312"	"金币飞舞"
		"e313"	"光辉岁月"
		"e314"	"紫色星云"
		"e315"	"噩梦缠绕"
		"e316"	"星星"
		"e317"	"心心相印"
		"e318"	"2017冠军之辉"
		"e319"	"灿若繁星"
		"e320"	"大漩涡"
		"e321"	"通灵术"
		"e401"	"燃焰之触"
		"e402"	"霜寒之触"
		"e403"	"迈达斯之触"
		"e404"	"离子之汽"
		"e405"	"光芒万丈"
		"e406"	"星光蓝宝石"
		"e407"	"飞沙走石"
		"e408"	"暗月来袭"
		"e409"	"血之环"
		"e410"	"雪精灵"
		"e499"	"金龙鱼"
		"h101"	"船长的鹦鹉"
		"h102"	"斗鱼棋圣Zard-"
		"h103"	"神兔"
		"h104"	"粉嫩蝾螈"
		"h105"	"酒桶浣熊"
		"h106"	"毛毛鱼"
		"h107"	"海盗船"
		"h108"	"达士奇"
		"h109"	"萌蛛"
		"h110"	"翠花|红色"
		"h111"	"白羽鸡"
		"h112"	"绿毛龟"
		"h113"	"空心恶魔人"
		"h114"	"歪脖鸵鸟"
		"h115"	"跳脚企鹅"
		"h116"	"胡小桃"
		"h117"	"小红毛"
		"h118"	"极速蜗牛"
		"h119"	"松鼠卫兵"
		"h120"	"丹顶鹤"
		"h121"	"双头恶犬"
		"h122"	"飞僵小宝"
		"h123"	"雷克"
		"h124"	"快递青蛙跳跳"
		"h125"	"赤兔"
		"h126"	"迅捷魔童"
		"h127"	"狂暴野猪"
		"h128"	"碧磷|入门"
		"h129"	"蠕行水母"
		"h130"	"驴法师"
		"h131"	"丰臀公主"
		"h132"	"焚牙树精"
		"h133"	"咬人箱|机械"
		"h134"	"矿车鼠|矿车"
		"h201"	"末日宝宝"
		"h202"	"赏金宝宝"
		"h203"	"屠夫宝宝"
		"h204"	"血魔宝宝"
		"h205"	"小白虎"
		"h206"	"海民宝宝"
		"h207"	"黑鸟宝宝"
		"h208"	"虚空宝宝"
		"h209"	"修补匠宝宝"
		"h210"	"小星月"
		"h211"	"两栖鱼童"
		"h212"	"剧毒宝宝"
		"h213"	"不屈战犬"
		"h214"	"獭龙奥斯基"
		"h215"	"死神"
		"h216"	"冰龙宝宝"
		"h217"	"忠诚高山牦牛"
		"h219"	"骏马"
		"h218"	"桃树精"
		"h220"	"忠诚之犬瓦尔迪"
		"h221"	"八戒"
		"h222"	"羊羊羊"
		"h223"	"草泥马拉玛"
		"h224"	"碧磷|业余"
		"h225"	"胆小南瓜人"
		"h226"	"蟹小蜗|海螺"
		"h227"	"蟹小蜗|草鞋"
		"h228"	"蟹小蜗|穷鬼盾"
		"h229"	"竭智法师"
		"h230"	"蓝心白隼"
		"h231"	"莲花人"
		"h232"	"咬人箱|甲虫"
		"h233"	"小恶魔|鹦鹉"
		"h234"	"矿车鼠|蜡烛"
		"h301"	"魔典小龙"
		"h302"	"斑竹队长"
		"h303"	"滑板鲨鱼"
		"h304"	"炸毛小鸡"
		"h305"	"摇摆蘑菇"
		"h306"	"坚果松鼠"
		"h307"	"翠玉小龙"
		"h308"	"巨鸟多多"
		"h309"	"机械战驴"
		"h310"	"基拉魔法师"
		"h311"	"爆眼章鱼"
		"h312"	"金龟子"
		"h313"	"毛茸茸的肥羊羊"
		"h314"	"魔暴龙"
		"h315"	"基王海盗"
		"h316"	"摇摆的驴革米"
		"h317"	"伐士奇"
		"h318"	"肉山宝宝"
		"h319"	"小灰熊"
		"h320"	"白色龙蝶"
		"h321"	"红色龙蝶"
		"h322"	"碧磷|职业"
		"h323"	"招财猫"
		"h324"	"蟹小蜗|死灵书"
		"h325"	"蟹小蜗|飞鞋"
		"h326"	"蟹小蜗|莲花球"
		"h327"	"迅捷远足毛驴"
		"h328"	"天猫地狗"
		"h329"	"万圣树群"
		"h330"	"咬人箱|大嘴"
		"h331"	"咬人箱|洛克"
		"h332"	"布狗"
		"h333"	"小恶魔|海龟"
		"h334"	"小恶魔|螃蟹"
		"h335"	"矿车鼠|挖掘机"
		"h401"	"NAVI黄鼬"
		"h402"	"MVP滑板火烈鸟"
		"h403"	"IG小火龙"
		"h404"	"LGD的金萌萌"
		"h405"	"VG飞狐侠|红色"
		"h406"	"VP北极熊"
		"h407"	"EG的麋鹿"
		"h408"	"石头人|天辉"
		"h409"	"石头人|夜魇"
